BAN_hashed,IMSI_hashed,BRAND,DEVICE_MANUFACTURER_TXT,MUNICIPALITY_NM,PROVINCE_STATE_CD,TENURE_DAY_QTY_SCALED,PRICE_PLAN,PROD_TV,PROD_INTERNET,SEGMENT_NM,LOCALITY_NM,LIFESTAGE,THREE_MONTH_AVG_WLN_BILLING_SCALED,THREE_MONTH_AVG_WLS_BILLING_SCALED
103738491,906660119421180,T,Samsung,TORONTO,ON,0.2545,"Unlimited 30 - Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Came From Away,Urban Diversity,Middle-Age Families,0.021968522,0.116595333
99726246,906660114336684,K,Apple,GATINEAU,QC,0.089357143,$50 4GB UL min Plan SFD,1,0,Âgés & Traditionnels,Older Urban Francophone,Mature Singles & Couples,0.022312597,0.088861714
101849679,906660086597598,T,Apple,SURREY,BC,0.098428571,Peace of Mind Access - Tablet,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.034156471,0.074331669
101483649,906660041709660,T,Apple,COQUITLAM,BC,0.101071429,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.024841174,0.091516356
96727050,906660934016058,K,Apple,BURNABY,BC,0.2405,$45 3GB UL Can mins SFD,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.025389167,0.022021808
11048025,906661635213321,T,Samsung,BURNABY,BC,0.467285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.038396232,0.060846156
2081610,906660043441749,T,Apple,CALGARY,AB,0.588285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.028688609,0.039651483
37435101,906660059006205,T,Samsung,VANCOUVER,BC,0.406285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",0,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.01516974,0.044892829
29241279,906660033169377,T,Apple,RICHMOND,BC,0.540357143,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.028518008,0.096300825
41113086,906660038882328,T,Apple,L'ANCIENNE-LORETTE,QC,0.380285714,Non-Share 20GB - with unlimited nationwide talk and text (PROMO),1,0,Âgés & Traditionnels,Older Urban Francophone,Mature Singles & Couples,0.021192487,0.160256802
60885849,906660057746949,T,Apple,VANCOUVER,BC,0.675928571,YourChoice Premium AAL 60 - Unlimited nationwide talk and text,0,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.008488713,0.106443833
99085563,906660934724406,K,Samsung,KELOWNA,BC,0.114571429,$40 500MB 500min Plan SFD,1,1,Silver Flats,Older Suburban,Mature Singles & Couples,,0.01916845
108757131,906660121597764,T,Apple,WEST VANCOUVER,BC,0.056214286,"PROMO - Simple Share 5 - Unlimited nationwide talk, text, and 5GB of shareable data",1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.022230456,0.167016543
110479173,906661631492712,T,Apple,VANCOUVER,BC,0.045,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.007665001,0.060041102
113870169,906661634231670,T,Apple,NORTH VANCOUVER,BC,0.019928571,"Peace of Mind - Unlimited nationwide talk, text, and endless data (15GB High Speed)",1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.037132518,0.059986752
56396394,906661631315943,T,Apple,VANCOUVER,BC,0.306,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.031849044,0.052946771
61592127,906660034615704,T,Apple,POINTE-AUX-TREMBLES,QC,0.442428571,YourChoice Premium+ 75 - Unlimited nationwide talk and text,0,1,Un Grand Cru,Older Urban Francophone,Mature Singles & Couples,0.005130105,0.09620911
106200621,906660107878326,T,Apple,WESTASKIWIN,AB,0.197571429,P2P ULNW-1GB BYOD,0,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.00211787,0.020926322
845190,906661635048825,T,Apple,WETASKIWIN,AB,0.481,L&R ULNW 6GB shareable data,0,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.015977942,0.08245185
60166821,906660107651433,T,Samsung,SURREY,BC,0.789642857,YourChoice Standard 65 - Unlimited local talk and nationwide text,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.036112356,0.052838072
111778134,906660114351780,K,Apple,COQUITLAM,BC,0.034071429,$50 5GB Unltd min Plan SFD,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.034908381,0.053340806
52924164,906660916159587,K,Samsung,COQUITLAM,BC,0.161714286,$25 100 Local Plan,1,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.017422023,0.067925201
53010771,906660099311196,T,Apple,LETHBRIDGE,AB,0.101928571,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,1,Silver Flats,Older Suburban,Mature Singles & Couples,0.031496352,0.121226944
106520655,906661631400102,T,Apple,VAN,BC,0.070357143,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.035236946,0.124256938
8257602,906660032563215,T,Apple,BURNABY,BC,0.488357143,"PROMO - Simple Share 5 - Unlimited nationwide talk, text, and 5GB of shareable data",1,1,Came From Away,Urban Diversity,Middle-Age Families,0.050300419,0.11970855
7354935,906660099085956,T,Samsung,EDMONTON,AB,0.416285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.022686541,0.073015388
95240808,906660062030643,T,Samsung,NEW WESTMINSTER,BC,0.1365,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",0,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.014543627,0.057515541
113247252,906660123597483,T,Apple,BURNABY,BC,0.024785714,"Unlimited 30 - Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.029597335,0.191181766
92155011,906661635278313,T,Apple,VANCOUVER,BC,0.156,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",0,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.007161813,0.061146778
3433587,906660090078099,T,Samsung,BURNABY,BC,0.526357143,"Peace of Mind - Unlimited nationwide talk, text, and endless data (15GB High Speed)",1,0,Enclaves Multiethniques,Young Urban Core,School-Age Families,0.009531851,0.06218112
44596722,906660063268701,T,Samsung,EDMONTON,AB,0.360357143,"Peace of Mind - Unlimited Canada-US talk, text, and endless data (10GB High Speed)",0,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.027205468,0.141190258
108869205,906660948976026,K,Apple,KAMLOOPS,BC,0.055714286,$45 4GB Unltd min SFD,1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.015802171,0.027854207
50896038,906660101373702,T,Samsung,CALGARY,AB,0.332214286,"Simple Share 50 - Unlimited nationwide talk, text, and 50GB of shareable data",1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.019114251,0.146492748
104124741,906660937027197,K,Apple,BURNABY,BC,0.084214286,$70 15GB UL Can mins SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.014039864,0.097535582
7124682,906660033911310,T,Apple,CALGARY,AB,0.403,L&R ULNW 6GB shareable data,0,1,Came From Away,Urban Diversity,Middle-Age Families,0.017964846,0.081432793
100538424,906660088947453,T,Apple,SURREY,BC,0.105714286,"Unlimited 20 - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.039854098,0.274098984
86614746,906660088587420,T,LG,SURREY,BC,0.176285714,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.026496065,0.049047182
68791869,906660087417732,T,Apple,SASKATOON,SK,0.220214286,"PROMO - Peace of Mind - Unlimited nationwide talk, text, and endless data (15GB High Speed)",1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.022312597,0.063370019
4638105,906660099729564,T,Apple,BURNABY,BC,0.180071429,L&R ULNW 6GB shareable data,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.02521914,0.15256972
132141144,906661632675072,T,Apple,EDMONTON,AB,0.821285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",0,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.008662761,0.042100615
38916579,906660101924247,T,Samsung,VANCOUVER,BC,0.396928571,2GB Standard 70 - Unlimited nationwide talk and text,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.025112873,0.036288597
107198385,906660098127291,T,Samsung,CALGARY,AB,0.065642857,"Simple Share 6 - Unlimited nationwide talk, text, and 6GB of shareable data",1,0,Came From Away,Urban Diversity,Middle-Age Families,0.02351887,0.034556201
64248987,906660096271410,T,Samsung,SURREY,BC,0.4425,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",0,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.011696823,0.042881891
60813027,906661634256894,T,Samsung,NORTH VANCOUVER,BC,0.501357143,L&R ULNW 6GB shareable data,0,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.004921592,0.076734943
83521413,906661635155709,T,Apple,BURNABY,BC,0.192928571,L&R ULNW 6GB shareable data,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.020471021,0.085624512
71192151,906660033606564,T,Apple,SURREY,BC,0.255285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.034580964,0.062739903
58794453,906660971232330,K,Apple,EDMONTON,AB,0.242571429,$60 4GB UL min Plan SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.022568212,0.083496382
82832751,906661634273865,T,Samsung,WETASKIWIN,AB,0.019214286,Peace of Mind Access - Tablet,1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.044714803,0.125218248
70570197,906660039442665,T,Apple,VANCOUVER,BC,0.223928571,YourChoice Premium AAL 55 - 300 local minutes and unlimited nationwide text,1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.049438796,0.12188933
109628826,906660951066819,K,Huawei,EDMONTON,AB,0.051071429,$30 2GB UL min Plan SFD,1,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.032745132,0.048491797
101849679,906660086597598,T,Apple,SURREY,BC,0.098428571,Peace of Mind Access - Tablet,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.034156471,0.074331669
62483517,906660099380802,T,Apple,VANCOUVER,BC,0.5405,L&R 10GB Non-share Unlimited nationwide talk and text (PROMO),0,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.00483543,0.047163626
103738491,906660119421180,T,Samsung,TORONTO,ON,0.2545,"Unlimited 30 - Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Came From Away,Urban Diversity,Middle-Age Families,0.021968522,0.116595333
109056681,906660124299210,T,Apple,EDMONTON,AB,0.009142857,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.019727727,0.080817963
114981693,906661636189242,T,Apple,VICTORIA,BC,0.615,"PROMO - Peace of Mind Connect Plus - UL nationwide talk, text, and endless data (35GB High Speed)",1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.028752369,0.063731784
111722112,906660951661107,K,Samsung,EDMONTON,AB,0.077928571,$60 10GB UL Can mins SFD,1,0,Enclaves Multiethniques,Young Urban Core,School-Age Families,0.01222069,0.03167397
110020863,906660951118500,K,SAMSUNG,SURREY,BC,0.048785714,$45 2GB Unltd min Plan QC SFD,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.0335137,0.049984714
111769710,906660122466210,T,Apple,VICTORIA,BC,0.034285714,"Peace of Mind - Unlimited nationwide talk, text, and endless data (10GB High Speed)",1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.035709116,0.074562655
61644981,906660057384003,T,Apple,WEST VANCOUVER,BC,0.606214286,"Simple Share 10 - Unlimited nationwide talk, text, and 10GB of shareable data",1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.028976392,0.110579503
110043021,906661634120370,T,Samsung,SURREY,BC,0.0485,Voice 25 - Unlimited Nationwide,1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.023152392,0.012758586
113414565,906660117560376,T,APPLE,VANCOUVER,BC,0.023928571,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.014557987,0.039445973
5751417,906660098095920,T,Samsung,BURNABY,BC,0.505571429,Voice 25 - Unlimited Nationwide,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.028384744,0.035040253
111509304,906660951748779,K,Apple,VANCOUVER,BC,0.036357143,$50 5GB Unltd min Plan SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.034993969,0.049782601
8505303,906660121868424,T,Apple,COQUITLAM,BC,0.486428571,L&R 6GB Non-share Unlimited nationwide talk and text,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.020090758,0.085362954
104323719,906660105071709,T,Samsung,SURREY,BC,0.083214286,YourChoice Premium 55 - Unlimited nationwide talk and text,1,1,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.034293756,0.09620911
95091423,906660062135412,T,Samsung,NORTH VANCOUVER,BC,0.137357143,YourChoice L&R BYOD 50 - Unlimited local talk and nationwide text,1,1,Came From Away,Urban Diversity,Middle-Age Families,0.021131024,0.036288597
113999022,906661634091441,T,Samsung,SURREY,BC,0.018928571,"Peace of Mind - Unlimited nationwide talk, text, and endless data (15GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.01800448,0.060679711
112264536,906660122699436,T,HUAWEI,LETHBRIDGE,AB,0.031142857,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Silver Flats,Older Suburban,Mature Singles & Couples,0.020244701,0.169497945
88530162,906661637817279,T,Apple,VANCOUVER,BC,0.032214286,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.00902177,0.128567546
92124414,906660928781502,K,Samsung,SAINTE-THÉRÈSE,QC,0.156142857,$45 7GB UL Can mins QC SFD,0,1,Un Grand Cru,Older Urban Francophone,Mature Singles & Couples,0.017782182,0.026799484
77899629,906660088507851,T,Apple,CALGARY,AB,0.414428571,2yr Nat Talk &Text - 2GB Share,1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.019645011,0.030556405
72806127,906660103840290,T,Apple,DEUX-MONTAGNES,QC,0.247142857,"Peace of Mind - Unlimited Canada-US talk, text, and endless data (10GB High Speed)",1,0,Familles Typiques,Upper-Middle Suburban Francophone,Middle-Age Families,0.015419611,0.100533306
95608767,906661629597111,T,Samsung,NORTH VANCOUVER,BC,0.201857143,4GB Standard 70 - Unlimited nationwide talk and text,0,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.018136022,0.036288597
82718742,906661637452875,T,Apple,CALGARY,AB,0.388714286,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,On Their Own Again,Urban Older,Mature Singles & Couples,0.03426044,0.080877408
114724134,906661636064031,T,LG,BURNABY,BC,0.013142857,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.035897524,0.129707191
106154052,906660108532515,T,Samsung,WEST VANCOUVER,BC,0.073,P2P ULNW-1GB BYOD,0,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.017627664,0.01916845
111367587,906660096171843,T,Samsung,VANCOUVER,BC,0.037357143,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.01829456,0.087017222
111982539,906660122055060,T,Apple,EDMONTON,AB,0.084714286,"PROMO - Peace of Mind Connect Plus - UL nationwide talk, text, and endless data (35GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.030024125,0.081972893
114724134,906661636064028,T,APPLE,BURNABY,BC,0.013142857,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.035897524,0.129707191
87140658,906660935358579,K,APPLE,VANCOUVER,BC,0.228,Canada-Wide Data Plan 60,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.016281234,0.039867183
92359275,906660041640972,T,Apple,SURREY,BC,0.154,"Unlimited 30 - Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,1,On Their Own Again,Urban Older,Mature Singles & Couples,0.029148142,0.10562689
86989815,906661637504388,T,Apple,SURREY,BC,0.421,"Peace of Mind - Unlimited nationwide talk, text, and endless data (20GB High Speed)",1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.044154173,0.064057882
115735119,906660954640068,T,APPLE,CALGARY,AB,0.006142857,"Unlimited 30 - Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.015074961,0.064806889
111778134,906660114351780,K,Apple,COQUITLAM,BC,0.034071429,$50 5GB Unltd min Plan SFD,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.034908381,0.053340806
95917704,906660105182151,T,Apple,VANCOUVER,BC,0.132642857,YourChoice Standard 70 - Unlimited nationwide talk and text,1,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.020682406,0.088562791
115170153,906661631825205,T,Apple,CALGARY,AB,0.010071429,Voice 25 - Unlimited Nationwide (AB/BC only),0,1,Came From Away,Urban Diversity,Middle-Age Families,0.018094089,0.004876185
78272850,906660095315868,T,Apple,BURNABY,BC,0.220714286,ULNW 10GB BYOD Non-Shareable,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.018050434,0.028526784
96475989,906660063229251,T,Apple,NEW WESTMINSTER,BC,0.129357143,YourChoice Premium 60 - 300 local minutes and unlimited nationwide text,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.023730254,0.084681885
115274025,906661635361005,T,Apple,VANCOUVER,BC,0.009357143,"PROMO - Peace of Mind-Unlimited nationwide talk, text, and endless data (30GB High Speed)",1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.029965535,0.033615272
47955339,906660048993603,T,Apple,VANCOUVER,BC,0.346428571,2GB Premium 80 - Unlimited nationwide talk and text,0,1,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.030133839,0.0522674
113099712,906660114865479,K,Apple,BURNABY,BC,0.025285714,$45 2GB Unltd min Plan SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,,0.035549781
96059166,906661631494032,T,Apple,NORTH VANCOUVER,BC,0.400071429,10GB Promo non-share Unlimited nationwide talk and text Platinum 115,1,0,Metro Melting Pot,Midscale Urban Fringe,Middle-Age Families,0.02317422,0.061968817
115647804,906660114528552,K,APPLE,NEW WESTMINSTER,BC,0.006642857,$50 10GB UL Can mins SFD,1,0,Social Networkers,Young Urban Core,Very Young Singles & Couples,0.027999311,0.014684602
